validity_metric,nlp_metric,r,p,model
alpha,mean_focal,0.1289920938102355,0.17526478454545572,llm_gemini
alpha,mean_focal_rank,-0.20783281294017625,0.02788573599205714,llm_gemini
alpha,min_focal,0.13372487195596752,0.159826175078136,llm_gemini
alpha,min_focal_rank,0.013715728003316545,0.8858700684609714,llm_gemini
alpha,max_focal,-0.05095823004117108,0.5936265595380559,llm_gemini
alpha,max_focal_rank,-0.26793963617294647,0.004287250304689592,llm_gemini
alpha,median_focal,0.14041647719027975,0.13976036934249628,llm_gemini
alpha,median_focal_rank,-0.27243126308707,0.0036611172407325643,llm_gemini
alpha,htd,0.15393146945077882,0.10513445171833748,llm_gemini
psa,mean_focal,0.2669471518284113,0.004437895405736503,llm_gemini
psa,mean_focal_rank,-0.025417555820790735,0.7902242605053842,llm_gemini
psa,min_focal,0.2651340582682749,0.0047253575227294295,llm_gemini
psa,min_focal_rank,0.2816818420639169,0.0026230812259346458,llm_gemini
psa,max_focal,0.1453959579328041,0.12611466245158948,llm_gemini
psa,max_focal_rank,-0.15259934970181732,0.10821574350273779,llm_gemini
psa,median_focal,0.22159765222983963,0.018867803065080898,llm_gemini
psa,median_focal_rank,-0.09373692910712533,0.32557985431685926,llm_gemini
psa,htd,0.44189204506804547,1.0739864289997878e-06,llm_gemini
csv,mean_focal,0.2706738430296005,0.0038956106181548696,llm_gemini
csv,mean_focal_rank,-0.02917724383991633,0.7600737909086258,llm_gemini
csv,min_focal,0.26767453271988784,0.004327034946943824,llm_gemini
csv,min_focal_rank,0.2779820955859575,0.0030012977306808366,llm_gemini
csv,max_focal,0.14929374004482743,0.11616640406970932,llm_gemini
csv,max_focal_rank,-0.15394063574253042,0.10511348988019892,llm_gemini
csv,median_focal,0.22494141297351872,0.017102641527865864,llm_gemini
csv,median_focal_rank,-0.09775608732450694,0.3051718976201741,llm_gemini
csv,htd,0.4474056189924672,7.586604759459177e-07,llm_gemini
htc,mean_focal,0.2787690311516463,0.0029169715781905635,llm_gemini
